quote	source
Science is organized knowledge. Wisdom is organized life.	Immanuel Kant
Knowing is not enough; we must apply!	Johann Wolfgang von Goethe
Strong beliefs win strong men, and then make them stronger.	Richard Bach
Autumn is a second spring when every leaf is a flower.	Albert Camus
If you surrender to the wind, you can ride it.	Toni Morrison
Keep yourself to the sunshine and you cannot see the shadow.	Helen Keller
Write your plans in pencil and give God the eraser.	Paulo Coelho
Inspiration exists, but it has to find us working.	Pablo Picasso
Pick battles big enough to matter, small enough to win.	Jonathan Kozol
Don't compromise yourself. You are all you've got.	Janis Joplin
A short saying oft contains much wisdom.	Sophocles
Difficulties are things that show a person what they are.	Epictetus
When you doubt your power, you give power to your doubt.	Honore de Balzac
The cause is hidden. The effect is visible to all.	Ovid
A prudent question is one half of wisdom.	Francis Bacon
The path to success is to take massive, determined action.	Tony Robbins
I allow my intuition to lead my path.	Manuel Puig
Nature takes away any faculty that is not used.	William R. Inge
If you wish to be a writer, write.	Epictetus
There is no way to prosperity, prosperity is the way.	Wayne Dyer
Either you run the day or the day runs you.	Jim Rohn
Better be ignorant of a matter than half know it.	Publilius Syrus
Follow your instincts. That is where true wisdom manifests itself.	Oprah Winfrey
There never was a good knife made of bad steel.	Benjamin Franklin
To accomplish great things, we must dream as well as act.	Anatole France
Patience is the companion of wisdom.	Saint Augustine
The mind is everything. What you think you become.	Buddha
To enjoy life, we must touch much of it lightly.	Voltaire
To fly, we have to have resistance.	Maya Lin
The heart has its reasons which reason knows not of.	Blaise Pascal
Be great in act, as you have been in thought.	William Shakespeare
Imagination rules the world.	Napoleon Bonaparte
Kind words do not cost much. Yet they accomplish much.	Blaise Pascal
There is no greater harm than that of time wasted.	Michelangelo
Intuition will tell the thinking mind where to look next.	Jonas Salk
Fears are nothing more than a state of mind.	Napoleon Hill
The journey of a thousand miles begins with one step.	Lao Tzu
Efficiency is doing things right; effectiveness is doing the right things.	Peter Drucker
Blaze with the fire that is never extinguished.	Luisa Sigea
Don't cry because it's over. Smile because it happened.	Dr. Seuss
No is easier to do. Yes is easier to say.	Jason Fried
To be wrong is nothing unless you continue to remember it.	Confucius
Yesterdays home runs don't win today's games.	Babe Ruth
Silence is deep as Eternity, Speech is shallow as Time.	Carlyle
Don't smother each other. No one can grow in the shade.	Leo F. Buscaglia
An ant on the move does more than a dozing ox	Lao Tzu
You can't shake hands with a clenched fist.	Indira Gandhi
A good decision is based on knowledge and not on numbers.	Plato
The cautious seldom err.	Confucius
If there is no struggle, there is no progress.	Frederick Douglass
Where there is great love, there are always miracles.	Willa Cather
Time you enjoy wasting, was not wasted.	John Lennon
Every problem has a gift for you in its hands.	Richard Bach
Sadness flies away on the wings of time.	Jean de la Fontaine
I have often regretted my speech, never my silence.	Publilius Syrus
Never put off till tomorrow what you can do today.	Thomas Jefferson
Minds are like parachutes. They only function when open.	Thomas Dewar
If a man does his best, what else is there?	George Patton
The secret of success is constancy to purpose.	Benjamin Disraeli
Life is a progress, and not a station.	Ralph Emerson
All seasons are beautiful for the person who carries happiness within.	Horace Friess
To avoid criticism, do nothing, say nothing, be nothing.	Elbert Hubbard
All things change; nothing perishes.	Ovid
Absence makes the heart grow fonder.	Haynes Bayly
Imagination is the highest kite one can fly.	Lauren Bacall
The beginning of knowledge is the discovery of something we do not understand.	Frank Herbert
Love doesn't make the world go round, love is what makes the ride worthwhile.	Elizabeth Browning
Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth.	Arthur Conan Doyle
Good timber does not grow with ease; the stronger the wind, the stronger the trees.	J. Willard Marriott
I believe that we are fundamentally the same and have the same basic potential.	Dalai Lama
The winds and waves are always on the side of the ablest navigators.	Edward Gibbon
The future belongs to those who believe in the beauty of their dreams.	Eleanor Roosevelt
Strength does not come from physical capacity. It comes from an indomitable will.	Mahatma Gandhi
Each misfortune you encounter will carry in it the seed of tomorrows good luck.	Og Mandino
To forgive is to set a prisoner free and realize that prisoner was you.	Lewis B. Smedes
In separateness lies the world's great misery, in compassion lies the world's true strength.	Buddha
By believing passionately in something that does not yet exist, we create it.	Nikos Kazantzakis
All the great performers I have worked with are fuelled by a personal dream.	John Eliot
One of the advantages of being disorderly is that one is constantly making exciting discoveries.	A. A. Milne
I never see what has been done; I only see what remains to be done.	Marie Curie
Begin at once to live and count each separate day as a separate life.	Seneca
If you don't know where you are going, you will probably end up somewhere else.	Lawrence Peter
It is not so important to know everything as to appreciate what we learn.	Hannah More
The bird of paradise alights only upon the hand that does not grasp.	John Berry
Think as a wise man but communicate in the language of the people.	William Yeats
Practice yourself, for heavens sake in little things, and then proceed to greater.	Epictetus
If one does not know to which port is sailing, no wind is favorable.	Seneca
To be upset over what you don't have is to waste what you do have.	Ken S. Keyes
If we did the things we are capable of, we would astound ourselves.	Thomas Edison
Nothing in life is to be feared. It is only to be understood.	Marie Curie
Successful people ask better questions, and as a result, they get better answers.	Tony Robbins
Life is a process. We are a process. The universe is a process.	Anne Schaef
I think somehow we learn who we really are and then live with that decision.	Eleanor Roosevelt
We learn what we have said from those who listen to our speaking.	Kenneth Patton
A little knowledge that acts is worth infinitely more than much knowledge that is idle.	Kahlil Gibran
The doors we open and close each day decide the lives we live.	Flora Whittemore
The worst bankrupt in the world is the person who has lost his enthusiasm.	H. W. Arnold
Happiness comes when your work and words are of benefit to yourself and others.	Buddha
Everything is perfect in the universe, even your desire to improve it.	Wayne Dyer
The universe is full of magical things, patiently waiting for our wits to grow sharper.	Eden Phillpotts
Just as a candle cannot burn without fire, men cannot live without a spiritual life.	Buddha
A thing long expected takes the form of the unexpected when at last it comes.	Mark Twain
Action may not always bring happiness; but there is no happiness without action.	Benjamin Disraeli
I don't believe in failure. It is not failure if you enjoyed the process.	Oprah Winfrey
What you do not want done to yourself, do not do to others.	Confucius
Short words are best and the old words when short are best of all.	Winston Churchill
If you light a lamp for somebody, it will also brighten your path.	Buddha
I have done my best: that is about all the philosophy of living one needs.	Lin-yutang
Through perseverance many people win success out of what seemed destined to be certain failure.	Benjamin Disraeli
Give thanks for the rain of life that propels us to reach new horizons.	Byron Pulsifer
The secret to a rich life is to have more beginnings than endings.	Dave Weinbaum
It is only when the mind and character slumber that the dress can be seen.	Ralph Waldo Emerson
If you don't like something, change it. If you can't change it, change your attitude.	Maya Angelou
Reviewing what you have learned and learning anew, you are fit to be a teacher.	Confucius
The world is a book, and those who do not travel read only a page.	Augustinus Sanctus
So long as a person is capable of self-renewal they are a living being.	Henri-Frederic Amiel
I'm not afraid of storms, for Im learning how to sail my ship.	Louisa Alcott
Think for yourselves and let others enjoy the privilege to do so too.	Voltaire
How we spend our days is, of course, how we spend our lives.	Annie Dillard
It has never been my object to record my dreams, just to realize them.	Man Ray
The most complicated achievements of thought are possible without the assistance of consciousness.	Sigmund Freud
Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.	Wayne Dyer
Most great people have attained their greatest success just one step beyond their greatest failure.	Napoleon Hill
If you think you can, you can. And if you think you can't, you're right.	Henry Ford
Better to have loved and lost, than to have never loved at all.	St. Augustine
Everyone thinks of changing the world, but no one thinks of changing himself.	Leo Tolstoy
The best way to pay for a lovely moment is to enjoy it.	Richard Bach
You have enemies? Good. That means you've stood up for something, sometime in your life.	Winston Churchill
Slow down and everything you are chasing will come around and catch you.	John De Paola
Your worst enemy cannot harm you as much as your own unguarded thoughts.	Buddha
I always wanted to be somebody, but I should have been more specific.	Lily Tomlin
Yeah we all shine on, like the moon, and the stars, and the sun.	John Lennon
Knowledge is a process of piling up facts; wisdom lies in their simplification.	Martin Fischer
Life is like riding a bicycle. To keep your balance you must keep moving.	Albert Einstein
We should all be thankful for those people who rekindle the inner spirit.	Albert Schweitzer
Opportunity is missed by most because it is dressed in overalls and looks like work.	Thomas Edison
Feeling and longing are the motive forces behind all human endeavor and human creations.	Albert Einstein
In the end we retain from our studies only that which we practically apply.	Johann Wolfgang von Goethe
If you correct your mind, the rest of your life will fall into place.	Lao Tzu
The world makes way for the man who knows where he is going.	Ralph Emerson
When your desires are strong enough you will appear to possess superhuman powers to achieve.	Napoleon Hill
Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.	John Adams
I cannot make my days longer so I strive to make them better.	Henry David Thoreau
Tension is who you think you should be. Relaxation is who you are.	Chinese proverb
Never bend your head. Always hold it high. Look the world right in the eye.	Helen Keller
One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.	Albert Schweitzer
We cannot do everything at once, but we can do something at once.	Calvin Coolidge
You have to do your own growing no matter how tall your grandfather was.	Abraham Lincoln
It is fatal to enter any war without the will to win it.	General Douglas MacArthur
Be what you are. This is the first step toward becoming better than you are.	Julius Charles Hare
There is nothing in a caterpillar that tells you it's going to be a butterfly.	Buckminster Fuller
Love and compassion open our own inner life, reducing stress, distrust and loneliness.	Dalai Lama
Ideals are an imaginative understanding of that which is desirable in that which is possible.	Walter Lippmann
The superior man is satisfied and composed; the mean man is always full of distress.	Confucius
If you spend too much time thinking about a thing, you'll never get it done.	Bruce Lee
The way is not in the sky. The way is in the heart.	Buddha
Most people are about as happy as they make up their minds to be	Abraham Lincoln
Three things cannot be long hidden: the sun, the moon, and the truth.	Buddha
More often than not, anger is actually an indication of weakness rather than of strength.	Dalai Lama
Before you put on a frown, make absolutely sure there are no smiles available.	Jim Beggs
A man of ability and the desire to accomplish something can do anything.	Donald Kircher
You, yourself, as much as anybody in the entire universe, deserve your love and affection.	Buddha
It is not uncommon for people to spend their whole life waiting to start living.	Eckhart Tolle
Don't be afraid to go out on a limb. That's where the fruit is.	H. Jackson Browne
Wicked people are always surprised to find ability in those that are good.	Marquis Vauvenargues
Life is so constructed that an event does not, cannot, will not, match the expectation.	Charlotte Bronte
If you change the way you look at things, the things you look at change.	Wayne Dyer
No man can succeed in a line of endeavor which he does not like.	Napoleon Hill
You will not be punished for your anger, you will be punished by your anger.	Buddha
Don't judge each day by the harvest you reap but by the seeds you plant.	Robert Stevenson
They say that time changes things, but you actually have to change them yourself.	Andy Warhol
Never apologize for showing feelings. When you do so, you apologize for the truth.	Benjamin Disraeli
The truth you believe and cling to makes you unavailable to hear anything new.	Pema Chodron
Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.	Horace
If you spend your whole life waiting for the storm, you'll never enjoy the sunshine.	Morris West
The only limit to our realization of tomorrow will be our doubts of today.	Franklin Roosevelt
Every action of our lives touches on some chord that will vibrate in eternity.	Edwin Chapin
Shoot for the moon. Even if you miss, you'll land among the stars.	Les Brown
It does not matter how slowly you go as long as you do not stop.	Confucius
Most folks are about as happy as they make up their minds to be.	Abraham Lincoln
If you would take, you must first give, this is the beginning of intelligence.	Lao Tzu
It is on our failures that we base a new and different and better success.	Havelock Ellis
Quality is never an accident; it is always the result of intelligent effort.	John Ruskin
To study and not think is a waste. To think and not study is dangerous.	Confucius
Life is a succession of lessons, which must be lived to be understood.	Ralph Emerson
Time changes everything except something within us which is always surprised by change.	Thomas Hardy
You are important enough to ask and you are blessed enough to receive back.	Wayne Dyer
If you cannot do great things, do small things in a great way.	Napoleon Hill
If you want your life to be more rewarding, you have to change the way you think.	Oprah Winfrey
Transformation doesn't take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us.	Byron Pulsifer
The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.	Leonardo Ruiz
The free man is he who does not fear to go to the end of his thought.	Leon Blum
Great are they who see that spiritual is stronger than any material force, that thoughts rule the world.	Ralph Emerson
A life spent making mistakes is not only more honourable but more useful than a life spent in doing nothing.	Bernard Shaw
The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own.	Lao Tzu
Don't leave a stone unturned. It's always something, to know you have done the most you could.	Charles Dickens
By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm.	Dalai Lama
We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly.	Sam Keen
What lies behind us and what lies before us are tiny matters compared to what lies within us.	Walt Emerson
There are things so deep and complex that only intuition can reach it in our stage of development as human beings.	John Astin
A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.	Elbert Hubbard
There is no retirement for an artist, it's your way of living so there is no end to it.	Henry Moore
I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.	Confucius
When you are content to be simply yourself and don't compare or compete, everybody will respect you.	Laozi
Be not afraid of greatness: some are born great, some achieve greatness, and some have greatness thrust upon them.	William Shakespeare
Success means having the courage, the determination, and the will to become the person you believe you were meant to be.	George Sheehan
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.	Thomas Jefferson
It is only with the heart that one can see rightly, what is essential is invisible to the eye.	Antoine de Saint-Exupery
Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.	Marcel Proust
Make the best use of what is in your power, and take the rest as it happens.	Epictetus
The thoughts we choose to think are the tools we use to paint the canvas of our lives.	Louise Hay
No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.	W. Clement Stone
The reason most goals are not achieved is that we spend our time doing second things first.	Robert McKain
If your actions inspire others to dream more, learn more, do more and become more, you are a leader.	John Quincy Adams
I'm a great believer in luck and I find the harder I work, the more I have of it.	Thomas Jefferson
Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good.	Ralph Emerson
The person born with a talent they are meant to use will find their greatest happiness in using it.	Johann Wolfgang von Goethe
Good people are good because they've come to wisdom through failure. We get very little wisdom from success, you know.	William Saroyan
Your destiny isn't just fate; it is how you use your own developed abilities to get what you want.	Byron Pulsifer
Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.	Leonardo da Vinci
A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.	Isaac Asimov
Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars.	Henry Van Dyke
You got to be careful if you don't know where you're going, because you might not get there.	Yogi Berra
You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.	Naguib Mahfouz
Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more	Anthony Robbins
You can't let praise or criticism get to you. It's a weakness to get caught up in either one.	John Wooden
I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars.	Og Mandino
Our doubts are traitors and make us lose the good we often might win, by fearing to attempt.	Jane Addams
By nature man hates change; seldom will he quit his old home till it has actually fallen around his ears.	Thomas Carlyle
Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it.	M. Scott Peck
The minute you settle for less than you deserve, you get even less than you settled for.	Maureen Dowd
The highest stage in moral ure at which we can arrive is when we recognize that we ought to control our thoughts.	Charles Darwin
If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace.	Dalai Lama
There is only one success, to be able to spend your life in your own way.	Christopher Morley
Promises are the uniquely human way of ordering the future, making it predictable and reliable to the extent that this is humanly possible.	Hannah Arendt
Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts.	Alan Cohen
There is only one corner of the universe you can be certain of improving, and that's your own self.	Aldous Huxley
You're not obligated to win. You're obligated to keep trying to do the best you can every day.	Marian Edelman
Everyone can taste success when the going is easy, but few know how to taste victory when times get tough.	Byron Pulsifer
Deep listening is miraculous for both listener and speaker.When someone receives us with open-hearted, non-judging, intensely interested listening, our spirits expand.	Sue Patton Thoele
You may be deceived if you trust too much, but you will live in torment if you don't trust enough.	Frank Crane
Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven.	Lao Tzu
All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable.	Kathleen Norris
Choose a job you love, and you will never have to work a day in your life.	Confucius
